id,company,role,start_date,end_date,description
1,Accenture,Tech Bootcamp Participant,2026-02,2026-02,"Participated in a 4-day tech bootcamp, learned about the use of agentic AI to tackle real-world business problems"
2,Peroptyx,Map Analyst,2024-12,2025-01,"Gained an understanding of map analysis techniques, such as accuracy of precise location of queried results"
3,Longhurst's Bakery,Packing Assistant,2022-11,2022-11,Assisted in packing bagels for delivery to nearby shops
4,Burgertory,Assistant Cashier,2021-12,2021-12,Assisted in taking and serving orders and cleaned trays
